prefix	lane_number	seq_id	sample_id	population	data_type
SRR16894202	7	55085	NAR2008_006	NAR2008	pe
SRR16894201	7	55086	PAA2011_786	PAA2011	pe
SRR16894100	7	55087	BUK2011_001	BUK2011	pe
SRR16894193	7	55088	BUK2011_018	BUK2011	pe
SRR16894182	7	55089	KNG2011_379	KNG2011	pe
SRR16894064	7	55090	BUK2011_053	BUK2011	pe
SRR16894053	7	55091	ATP2011_125	ATP2011	pe
SRR16894173	7	55093	KNG2011_433	KNG2011	pe
SRR16894162	7	55095	IKE2011_966	IKE2011	pe
SRR16894151	7	55097	BUK2011_002	BUK2011	pe
SRR16894200	7	55098	BUK2011_027	BUK2011	pe
SRR16894139	7	55100	KNG2011_383	KNG2011	pe
SRR16894128	7	55101	BUK2011_056	BUK2011	pe
SRR16894090	7	55102	KNG2011_435	KNG2011	pe
SRR16894079	7	55104	IKE2011_970	IKE2011	pe
SRR16894122	7	55107	BUK2011_006	BUK2011	pe
SRR16894111	7	55108	BUK2011_029	BUK2011	pe
SRR16894103	7	55109	UUM2010_036	UUM2010	pe
SRR16894102	7	55110	BUK2011_057	BUK2011	pe
SRR16894101	7	55111	UUM2010_068	UUM2010	pe
SRR16894099	7	55112	KNG2011_437	KNG2011	pe
SRR16894098	7	55115	IKE2011_972	IKE2011	pe
SRR16894097	7	55118	BUK2011_007	BUK2011	pe
SRR16894095	7	55119	UUM2010_038	UUM2010	pe
SRR16894199	7	55120	BUK2011_041	BUK2011	pe
SRR16894198	7	55121	BUK2011_059	BUK2011	pe
SRR16894197	7	55122	KNG2011_439	KNG2011	pe
SRR16894196	7	55124	IKE2011_976	IKE2011	pe
SRR16894195	7	55128	BUK2011_010	BUK2011	pe
SRR16894194	7	55129	KNG2011_373	KNG2011	pe
SRR16894192	7	55130	BUK2011_045	BUK2011	pe
SRR16894191	7	55131	BUK2011_060	BUK2011	pe
SRR16894190	7	55132	UUM2010_073	UUM2010	pe
SRR16894189	7	55133	UUM2010_096	UUM2010	pe
SRR16894188	7	55134	KNG2011_441	KNG2011	pe
SRR16894187	7	55137	IKE2011_978	IKE2011	pe
SRR16894186	7	55139	PAA2011_708	PAA2011	pe
SRR16894185	7	55141	KNG2011_375	KNG2011	pe
SRR16894184	7	55142	NAR2008_001	NAR2008	pe
SRR16894183	7	55143	BUK2011_048	BUK2011	pe
SRR16894181	7	55144	UUM2010_075	UUM2010	pe
SRR16894180	7	55145	UUM2010_098	UUM2010	pe
SRR16894179	7	55146	KNG2011_489	KNG2011	pe
SRR16894178	7	55148	IKE2011_984	IKE2011	pe
SRR16894177	7	55150	ITV2011_628	ITV2011	pe
SRR16894176	7	55151	PAA2011_728	PAA2011	pe
SRR16894068	7	55153	BUK2011_012	BUK2011	pe
SRR16894067	7	55155	KNG2011_377	KNG2011	pe
SRR16894066	7	55156	NAR2008_002	NAR2008	pe
SRR16894065	7	55157	BUK2011_051	BUK2011	pe
SRR16894063	7	55158	UUM2010_080	UUM2010	pe
SRR16894062	7	55159	KNG2011_413	KNG2011	pe
SRR16894061	7	55160	KNG2011_497	KNG2011	pe
SRR16894060	7	55162	UUM2010_023	UUM2010	pe
SRR16894059	7	55164	BUK2011_016	BUK2011	pe
SRR16894058	7	55165	PAA2011_856	PAA2011	pe
SRR16894057	7	55166	QQL2011_860	QQL2011	pe
SRR16894056	7	55167	UUM2010_044	UUM2010	pe
SRR16894055	7	55170	BUK2011_021	BUK2011	pe
SRR16894054	7	55171	PAA2011_858	PAA2011	pe
SRR16894052	7	55172	QQL2011_864	QQL2011	pe
SRR16894051	7	55173	ATP2011_111	ATP2011	pe
SRR16894050	7	55174	UUM2010_048	UUM2010	pe
SRR16894049	7	55178	QQL2011_876	QQL2011	pe
SRR16894048	7	55181	ITV2011_672	ITV2011	pe
SRR16894047	7	55185	QQL2011_878	QQL2011	pe
SRR16894046	7	55189	ITV2011_708	ITV2011	pe
SRR16894045	7	55191	QQL2011_884	QQL2011	pe
SRR16894175	7	55194	ITV2011_714	ITV2011	pe
SRR16894174	7	55196	QQL2011_886	QQL2011	pe
